diagnosis,note,ICD1,ICD2,ICD3,ICD4,ICD5
跌入風扇,6,W31,X83,Y08,Y33,
跌入養鱉池,7,T751,W73,X71,X92,Y21
跌入餿水池內,7,T751,W73,X71,X92,Y21
跌入高溫溫泉池,0,W17,,,,
跌入魚塭,7,T751,W70,X71,X92,Y21
跌入魚漿攪伴筒內,0,W31,,,,
跌創,6,W19,X80,Y01,Y30,
跌落,6,W19,X80,Y01,Y30,
跌落下水道,6,W17,X80,Y01,Y30,
跌落傘兵坑內,6,W17,X80,Y01,Y30,
跌落化糞池,0,W17,,,,
跌落古井,6,W17,X80,Y01,Y30,
跌落地下室,0,W17,,,,
跌落地面,6,W19,X80,Y01,Y30,
跌落地面後被車輾過,6,V093,X82,Y03,Y32,
跌落圳溝溺水,7,T751,W70,X71,X92,Y21
跌落垃圾儲槽底,6,W17,X80,Y01,Y30,
跌落大圳水溝內,7,T751,W70,X71,X92,Y21
跌落小溪旁石縫中,6,W17,X80,Y01,Y30,
跌落山中溪流,7,T751,W70,X71,X92,Y21
跌落山坡,6,W17,X80,Y01,Y30,
跌落山溝,6,W17,X80,Y01,Y30,
跌落山腰,6,W17,X80,Y01,Y30,
跌落山谷,6,W17,X80,Y01,Y30,
跌落工作梯,0,W11,,,,
跌落工地基樁坑洞,6,W17,X80,Y01,Y30,
跌落平地河川,7,T751,W70,X71,X92,Y21
跌落床下,6,W06,X80,Y01,Y30,
跌落性瘀傷,6,W19,X80,Y01,Y30,
跌落排水溝,6,W17,X80,Y01,Y30,
跌落攪拌器,6,W17,X80,Y01,Y30,
跌落斜坡,0,W19,,,,
跌落椅子,6,W07,X80,Y01,Y30,
跌落樓梯,6,W10,X80,Y01,Y30,
跌落樓梯間,6,W10,X80,Y01,Y30,
跌落橋下,6,W17,X80,Y01,Y30,
跌落水中,7,T751,W74,X71,X92,Y21
跌落水圳,7,T751,W70,X71,X92,Y21
跌落水庫,7,T751,W73,X71,X92,Y21
跌落水池,7,T751,W73,X71,X92,Y21
跌落水泥地,6,W17,X80,Y01,Y30,
跌落水溝,6,W17,X80,Y01,Y30,
跌落水溝溺斃,7,T751,W73,X71,X92,Y21
跌落水田溺斃,7,T751,W73,X71,X92,Y21
跌落水盆,6,W17,X80,Y01,Y30,
跌落水稻田,6,W17,X80,Y01,Y30,
跌落水糟,6,W17,X80,Y01,Y30,
跌落水霸,6,W17,X80,Y01,Y30,
跌落汙水槽溺斃,7,T751,W73,X71,X92,Y21
跌落池塘溺水,7,T751,W70,X71,X92,Y21
跌落河,7,T751,W70,X71,X92,Y21
跌落河床,6,W17,X80,Y01,Y30,
跌落油槽,6,W17,X80,Y01,Y30,
跌落浴缸內,7,T751,W66,X71,X92,Y21
跌落海中,7,T751,W70,X71,X92,Y21
跌落海邊涵洞內,7,T751,W70,X71,X92,Y21
跌落海邊溺水,7,T751,W70,X71,X92,Y21
跌落消波塊溺斃,7,T751,W70,X71,X92,Y21
跌落涵洞,6,W17,X80,Y01,Y30,
跌落深水井,7,T751,W73,X71,X92,Y21
跌落湖中,7,T751,W70,X71,X92,Y21
跌落溪內,7,T751,W70,X71,X92,Y21
跌落溪谷,6,W17,X80,Y01,Y30,
跌落漁池,7,T751,W70,X71,X92,Y21
跌落漁港,7,T751,W70,X71,X92,Y21
跌落漁溫,6,W17,X80,Y01,Y30,
跌落灌溉水溝,6,W17,X80,Y01,Y30,
跌落灌溉溝渠,6,W17,X80,Y01,Y30,
跌落灌溉溝渠溺斃,7,T751,W73,X71,X92,Y21
跌落熱水浴缸,0,X11,,,,
跌落病床,6,W06,X80,Y01,Y30,
跌落登山步道,6,W17,X80,Y01,Y30,
跌落礦坑,6,W17,X80,Y01,Y30,
跌落自然地水池或池塘,7,T751,W73,X71,X92,Y21
跌落蓄水池,7,T751,W73,X71,X92,Y21
跌落蓮蓬頭水管卡住頸部,5,W19,W76,,,
跌落路旁菜園內,6,W17,X80,Y01,Y30,
跌落農田,6,W17,X80,Y01,Y30,
跌落邊坡落至溪中,7,T751,W70,X71,X92,Y21
跌落防波堤溺斃,7,T751,W70,X71,X92,Y21
跌落階梯,0,W10,,,,
跌落飼料糟,6,W17,X80,Y01,Y30,
跌落養魚池塘,7,T751,W70,X71,X92,Y21
跌落魚池,7,T751,W70,X71,X92,Y21
跌落鷹架,6,W12,X80,Y01,Y30,
跌趴昏迷於草業軟泥地,6,W19,X80,Y01,Y30,
跑步,5,T733,X50,,,
跑步休克,3,R578,T794,P968,,
跑步後猝死,0,R960,,,,
跑步時昏厥,0,X599,,,,
跑步機壓傷,6,W31,X83,Y08,Y33,
跟骨骨髓炎,0,M869,,,,
跨越軌道火車輾斃,6,V051,X82,Y03,Y32,
路倒,6,W19,X80,Y01,Y30,
路基塌陷遭流水衝擊,5,T751,W74,,,
路平面跌倒,6,W18,X80,Y01,Y30,
路易氏體失智症,0,F03,,,,
路樹傾壓,6,W20,X83,Y08,Y33,
跳下軌道火車撞擊,6,V051,X82,Y03,Y32,
跳下鐵軌遭火車撞擊,6,V051,X82,Y03,Y32,
跳井,7,T751,W73,X71,X92,Y21
跳入圳溝內,7,T751,W70,X71,X92,Y21
跳入溪水中,7,T751,W70,X71,X92,Y21
跳崖,6,W15,X80,Y01,Y30,
跳急水溪溺斃,7,T751,W70,X71,X92,Y21
跳樓,6,W13,X80,Y01,Y30,
跳橋,6,W17,X80,Y01,Y30,
跳水,7,T751,W70,X71,X92,Y21
跳水意外,5,T751,W74,,,
跳水自殺,7,T751,W70,X71,X92,Y21
跳河,7,T751,W70,X71,X92,Y21
跳海,7,T751,W70,X71,X92,Y21
跳海自殺,7,T751,W70,X71,X92,Y21
跳湖,7,T751,W70,X71,X92,Y21
跳車,6,V892,X82,Y03,Y32,
跳軌,0,X81,,,,
踝傷口感染,2,L088,T793,,,
踝切割傷,7,S910,W269,X78,X99,Y28
踝化膿,0,L088,,,,
踝惡性骨髓炎,0,M869,,,,
踝感染,0,L088,,,,
踝慢性潰瘍,0,L97,,,,
踝扭傷,0,S934,,,,
踝擦挫傷,0,S900,,,,
踝滑液膜惡性腫,0,C492,,,,
踝癌,0,C765,,,,
踝褥瘡,0,L899,,,,
踝部壓迫性潰瘍,0,L97,,,,
踝部潰瘍,0,L97,,,,
踝部皮膚潰瘍,0,L97,,,,
踝部細菌性關節炎,0,M009,,,,
踝部骨折,0,S828,,,,
踝部骨髓炎,0,M869,,,,
踝關節化膿,0,M009,,,,
踝關節潰瘍壞死,0,M879,,,,
踝關節炎,0,M139,,,,
踝關節脫臼,0,S930,,,,
踝關節融合術後感染,5,T814,Y839,,,
踝關節變形,3,M216,S999,Q688,,
踝骨折,0,S828,,,,
踵部擦傷,0,S907,,,,
蹠腿骨骨折,0,S923,,,,
蹠骨壞死,0,M879,,,,
蹠骨惡性腫瘤,0,C403,,,,
蹠骨關節炎,0,M139,,,,
蹠骨骨折,0,S923,,,,
蹣跚嬰兒症候群,0,P942,,,,
躁性精神病,0,F302,,,,
躁症,0,F302,,,,
躁鬱症,0,F319,,,,
躁鬱精神病,0,F319,,,,
身上套塑膠袋,7,T71,W83,X70,X91,Y20
身体傷害,0,T149,,,,
身体各機能衰竭,1,R092,P290,,,
身体肢体萎縮,0,M625,,,,
身心器官病變,0,F459,,,,
身心官能病變,0,F459,,,,
身心機能病變,0,F459,,,,
身心症,0,F459,,,,
身心障礙,0,F459,,,,
身體不適,0,R688,,,,
身體卡在床縫,7,T71,W75,X70,X91,Y20
身體器官功能衰竭,1,R092,P290,,,
身體多處切割創,7,T019,W269,X78,X99,Y28
身體多處壓挫傷,0,T049,,,,
身體多處撕裂傷,0,T019,,,,
身體多處病痛,0,R529,,,,
身體多處輾壓傷,0,T147,,,,
身體多處鈍挫傷,0,T009,,,,
身體多處骨折,0,T029,,,,
"身體多處骨折,撕裂傷",0,T029,,,,
身體多重外傷,0,T07,,,,
身體大面積撕裂傷,0,T141,,,,
身體廣泛性挫傷,0,T140,,,,
身體捲入麵粉攪拌機,6,W31,X83,Y08,Y33,
身體斷裂,0,T147,,,,
身體機能衰竭,1,R092,P290,,,
身體浸於冷水桶內,7,T751,W73,X71,X92,Y21
身體消瘦,0,E41,,,,
身體瘦弱,0,E41,,,,
身體老化,0,R54,,,,
身體耗弱,1,R53,P969,,,
身體胖,0,E669,,,,
身體膿瘍,0,L029,,,,
身體虛弱,1,R53,P969,,,
身體衰弱,1,R53,P969,,,
身體衰弱多病,1,R53,P969,,,
身體退化,0,R54,,,,
身體過敏反應體質,0,R999,,,,
身體過胖,0,E669,,,,
躲入水塔溺斃窒息,5,T751,W73,,,
軀幹三度燒傷,7,T213,X09,X76,X97,Y26
軀幹三度燙傷,7,T213,X09,X76,X97,Y26
軀幹僵硬,0,M256,,,,
軀幹出血,0,T099,,,,
軀幹刺傷,7,T091,W269,X78,X99,Y28
軀幹壓瘡,0,L899,,,,
軀幹壞死,0,R02,,,,
軀幹壞死性肌膜炎,0,M726,,,,
軀幹外傷,0,T099,,,,
軀幹多處褥瘡,0,L899,,,,
軀幹惡性腫瘤,0,C496,,,,
軀幹惡性黑色素瘤,0,C435,,,,
軀幹截斷,0,T096,,,,
軀幹挫傷,0,T090,,,,
軀幹濕疹皮膚炎,0,L309,,,,
軀幹灼傷,7,T210,X09,X76,X97,Y26
軀幹燒傷,7,T210,X09,X76,X97,Y26
軀幹畸形,0,Q769,,,,
軀幹皮膚惡性腫瘤,0,C445,,,,
軀幹皮膚癌,0,C445,,,,
軀幹粉碎性骨折,0,T021,,,,
軀幹結締組織惡性腫瘤,0,C496,,,,
軀幹纖維肉瘤,0,C493,,,,
軀幹肌肉萎縮,0,M625,,,,
軀幹蜂窩組織炎,0,L033,,,,
軀幹裂傷,0,T091,,,,
軀幹輾壓傷,0,T041,,,,
軀幹轉移癌,0,C798,,,,
軀幹鈍傷,0,T099,,,,
軀幹骨折,0,T021,,,,
軀體損傷,0,T149,,,,
軀體鈍力損傷,0,T149,,,,
車上摔落,6,V899,X82,Y03,Y32,
車內廢氣,7,T58,X470,X670,X880,Y170
車內引火,6,X09,X76,X97,Y26,
車內燃燒木炭,7,T58,X472,X672,X882,Y172
車內燒炭,7,T58,X472,X672,X882,Y172
車內燒瓦斯,7,T58,X472,X672,X882,Y172
車內瓦斯中毒,7,T58,X472,X672,X882,Y172
車內碰撞,6,V899,X82,Y03,Y32,
車內缺氧,3,R090,T71,P219,,
車內自焚,6,X09,X76,X97,Y26,
車內起火,6,X09,X76,X97,Y26,
車內通風不良,7,T71,W81,X70,X91,Y20
車到人亡,0,R999,,,,
車斗壓傷,6,W20,X83,Y08,Y33,
車斗後方升降機壓斃,6,W24,X83,Y08,Y33,
車用空氣清新劑中毒,7,T529,X46,X66,X85,Y16
車禍,6,V892,X82,Y03,Y32,
車禍(&V892),0,V892,,,,
車禍(油罐車與曳引車),6,V649,X82,Y03,Y32,
車禍(被車門擠壓),6,V892,X82,Y03,Y32,
車禍A1腳踏車,6,V199,X82,Y03,Y32,
車禍A20機車,6,V299,X82,Y03,Y32,
車禍A21機車*汽車,6,V870,X82,Y03,Y32,
車禍A22機車*貨車,6,V871,X82,Y03,Y32,
車禍A23機車*大貨車,6,V871,X82,Y03,Y32,
車禍A24機車*巴士,6,V871,X82,Y03,Y32,
車禍A25機車*耕耘機,6,V879,X82,Y03,Y32,
車禍A26機車*農用搬運車,6,V879,X82,Y03,Y32,
車禍A30汽車,6,V499,X82,Y03,Y32,
車禍A31汽車*貨車,6,V872,X82,Y03,Y32,
車禍A32汽車*大貨車,6,V874,X82,Y03,Y32,
車禍A33汽車*巴士,6,V873,X82,Y03,Y32,
車禍A34汽車*撞靜態物體,6,V479,X82,Y03,Y32,
車禍A35汽車*摔倒翻覆跌落,6,V489,X82,Y03,Y32,
車禍A40貨車,6,V599,X82,Y03,Y32,
車禍A41貨車*撞靜態物體,6,V579,X82,Y03,Y32,
車禍A42貨車*摔倒翻覆跌落,6,V589,X82,Y03,Y32,
車禍A43貨車*大貨車,6,V877,X82,Y03,Y32,
車禍A44貨車*巴士,6,V875,X82,Y03,Y32,
車禍A50大貨車,6,V699,X82,Y03,Y32,
車禍A51大貨車*撞靜態物體,6,V679,X82,Y03,Y32,
車禍A52大貨車*摔倒翻覆跌落,6,V689,X82,Y03,Y32,
車禍A53大貨車*巴士,6,V875,X82,Y03,Y32,
車禍A60巴士,6,V799,X82,Y03,Y32,
車禍A61巴士*撞靜態物體,6,V779,X82,Y03,Y32,
車禍A62巴士*摔倒翻覆跌落,6,V789,X82,Y03,Y32,
車禍A7火車,6,V819,X82,Y03,Y32,
車禍A8捷運,6,V829,X82,Y03,Y32,
車禍A91不明車輛*撞靜態物體,6,V899,X82,Y03,Y32,
車禍A92不明車輛*摔倒翻覆跌落,6,V899,X82,Y03,Y32,
車禍B0行人*腳踏車,6,V011,X82,Y03,Y32,
車禍B1行人*機車,6,V021,X82,Y03,Y32,
車禍B2行人*汽車,6,V031,X82,Y03,Y32,
車禍B3行人*貨車,6,V031,X82,Y03,Y32,
車禍B4行人*大貨車,6,V041,X82,Y03,Y32,
車禍B5行人*巴士,6,V041,X82,Y03,Y32,
車禍B6行人*火車,6,V051,X82,Y03,Y32,
車禍B7行人*捷運,6,V061,X82,Y03,Y32,
車禍B8行人*不明車輛,6,V092,X82,Y03,Y32,
車禍C00腳踏車騎士*行人,6,V104,X82,Y03,Y32,
車禍C0腳踏車騎士*腳踏車,6,V114,X82,Y03,Y32,
車禍C1腳踏車騎士*機車,6,V124,X82,Y03,Y32,
車禍C2腳踏車騎士*汽車,6,V134,X82,Y03,Y32,
車禍C3腳踏車騎士*小貨車,6,V134,X82,Y03,Y32,
車禍C4腳踏車騎士*大貨車,6,V144,X82,Y03,Y32,
車禍C4腳踏車騎士*曳引車,6,V144,X82,Y03,Y32,
車禍C5腳踏車騎士*巴士,6,V144,X82,Y03,Y32,
車禍C6腳踏車騎士*火車,6,V154,X82,Y03,Y32,
車禍C7腳踏車騎士*撞靜態物體,6,V174,X82,Y03,Y32,
車禍C8腳踏車騎士*摔倒翻覆跌落,6,V184,X82,Y03,Y32,
車禍C9腳踏車騎士*不明車輛,6,V194,X82,Y03,Y32,
車禍D0機車騎士*機車,6,V224,X82,Y03,Y32,
車禍D0機車騎士*腳踏車,6,V214,X82,Y03,Y32,
車禍D1機車騎士*汽車,6,V234,X82,Y03,Y32,
車禍D2機車騎士*貨車,6,V234,X82,Y03,Y32,
車禍D3機車騎士*大貨車,6,V244,X82,Y03,Y32,
車禍D3機車騎士*曳引車,6,V244,X82,Y03,Y32,
車禍D4機車騎士*巴士,6,V244,X82,Y03,Y32,
車禍D5機車騎士*火車,6,V254,X82,Y03,Y32,
車禍D6機車騎士*撞靜態物體,6,V274,X82,Y03,Y32,
車禍D7機車騎士*摔倒翻覆跌落,6,V284,X82,Y03,Y32,
車禍D8機車騎士*不明車輛,6,V294,X82,Y03,Y32,
車禍D9機車騎士*挖土機,6,V264,X82,Y03,Y32,
車禍E0汽車駕駛*汽車,6,V435,X82,Y03,Y32,
車禍E1汽車駕駛*貨車,6,V435,X82,Y03,Y32,
車禍E2汽車駕駛*大貨車,6,V445,X82,Y03,Y32,
車禍E3汽車駕駛*巴士,6,V445,X82,Y03,Y32,
車禍E4汽車駕駛*火車,6,V455,X82,Y03,Y32,
車禍E5汽車駕駛*撞靜態物體,6,V475,X82,Y03,Y32,
車禍E6汽車駕駛*摔倒翻覆跌落,6,V485,X82,Y03,Y32,
車禍E7汽車駕駛*不明車輛,6,V494,X82,Y03,Y32,
車禍E8汽車駕駛*農用車,6,V465,X82,Y03,Y32,
車禍F0貨車駕駛*汽車,6,V535,X82,Y03,Y32,
車禍F1貨車駕駛*貨車,6,V535,X82,Y03,Y32,
車禍F2貨車駕駛*大貨車,6,V545,X82,Y03,Y32,
車禍F3貨車駕駛*巴士,6,V545,X82,Y03,Y32,
車禍F4貨車駕駛*火車,6,V555,X82,Y03,Y32,
車禍F5貨車駕駛*撞靜態物體,6,V575,X82,Y03,Y32,
車禍F6貨車駕駛*摔倒翻覆跌落,6,V585,X82,Y03,Y32,
車禍F7貨車駕駛*不明車輛,6,V594,X82,Y03,Y32,
車禍G0大貨車駕駛*汽車,6,V635,X82,Y03,Y32,
車禍G1大貨車駕駛*貨車,6,V635,X82,Y03,Y32,
車禍G2大貨車駕駛*大貨車,6,V645,X82,Y03,Y32,
車禍G3大貨車駕駛*巴士,6,V645,X82,Y03,Y32,
車禍G4大貨車駕駛*火車,6,V655,X82,Y03,Y32,
車禍G5大貨車駕駛*撞靜態物體,6,V675,X82,Y03,Y32,
車禍G6大貨車駕駛*摔倒翻覆跌落,6,V685,X82,Y03,Y32,
車禍G7大貨車駕駛*不明車輛,6,V694,X82,Y03,Y32,
車禍H0巴士駕駛*汽車,6,V735,X82,Y03,Y32,
車禍H1巴士駕駛*貨車,6,V735,X82,Y03,Y32,
車禍H2巴士駕駛*大貨車,6,V745,X82,Y03,Y32,
車禍H3巴士駕駛*巴士,6,V745,X82,Y03,Y32,
車禍H4巴士駕駛*火車,6,V755,X82,Y03,Y32,
車禍H5巴士駕駛*撞靜態物體,6,V775,X82,Y03,Y32,
車禍H6巴士駕駛*摔倒翻覆跌落,6,V785,X82,Y03,Y32,
車禍H7巴士駕駛*不明車輛,6,V794,X82,Y03,Y32,
車禍I0火車*跌落,6,V816,X82,Y03,Y32,
車禍I1火車*出軌,6,V817,X82,Y03,Y32,
車禍I2火車*與任何車輛相撞,6,V811,X82,Y03,Y32,
車禍I3火車*與其他物體相撞,6,V813,X82,Y03,Y32,
車禍J0捷運*跌落,6,V826,X82,Y03,Y32,
車禍J1捷運*出軌,6,V827,X82,Y03,Y32,
車禍J2捷運*與任何車輛相撞,6,V821,X82,Y03,Y32,
車禍J3捷運*與其他物體相撞,6,V823,X82,Y03,Y32,
車禍K1農業用車,6,V849,X82,Y03,Y32,
車禍K2堆土機、挖土機,6,V859,X82,Y03,Y32,
車禍K3水泥預拌車,6,V859,X82,Y03,Y32,
車禍K4吊車,6,V859,X82,Y03,Y32,
車禍K5壓路機,6,V859,X82,Y03,Y32,
車禍L0腳踏車乘客*腳踏車,6,V115,X82,Y03,Y32,
車禍L1腳踏車乘客*機車,6,V125,X82,Y03,Y32,
車禍L2腳踏車乘客*汽車,6,V135,X82,Y03,Y32,
車禍L3腳踏車乘客*小貨車,6,V135,X82,Y03,Y32,
車禍L4腳踏車乘客*大貨車,6,V145,X82,Y03,Y32,
車禍L5腳踏車乘客*巴士,6,V145,X82,Y03,Y32,
車禍L6腳踏車乘客*火車,6,V155,X82,Y03,Y32,
車禍L7腳踏車乘客*撞靜態物體,6,V175,X82,Y03,Y32,
車禍L8腳踏車乘客*摔倒翻覆跌落,6,V185,X82,Y03,Y32,
車禍L9腳踏車乘客*不明車輛,6,V195,X82,Y03,Y32,
車禍M0機車乘客*機車,6,V225,X82,Y03,Y32,
車禍M1機車乘客*汽車,6,V235,X82,Y03,Y32,
車禍M2機車乘客*貨車,6,V235,X82,Y03,Y32,
車禍M3機車乘客*大貨車,6,V245,X82,Y03,Y32,
車禍M4機車乘客*巴士,6,V245,X82,Y03,Y32,
車禍M5機車乘客*火車,6,V255,X82,Y03,Y32,
車禍M6機車乘客*撞靜態物體,6,V275,X82,Y03,Y32,
車禍M7機車乘客*摔倒翻覆跌落,6,V285,X82,Y03,Y32,
車禍M8機車乘客*不明車輛,6,V295,X82,Y03,Y32,
車禍N0汽車乘客*汽車,6,V436,X82,Y03,Y32,
車禍N1汽車乘客*貨車,6,V436,X82,Y03,Y32,
車禍N2汽車乘客*大貨車,6,V446,X82,Y03,Y32,
車禍N3汽車乘客*巴士,6,V446,X82,Y03,Y32,
車禍N4汽車乘客*火車,6,V456,X82,Y03,Y32,
車禍N5汽車乘客*撞靜態物體,6,V476,X82,Y03,Y32,
車禍N6汽車乘客*摔倒翻覆跌落,6,V486,X82,Y03,Y32,
車禍N7汽車乘客*不明車輛,6,V495,X82,Y03,Y32,
車禍O0貨車乘客*汽車,6,V536,X82,Y03,Y32,
車禍O1貨車乘客*貨車,6,V536,X82,Y03,Y32,
車禍O2貨車乘客*大貨車,6,V546,X82,Y03,Y32,
車禍O3貨車乘客*巴士,6,V546,X82,Y03,Y32,
車禍O4貨車乘客*火車,6,V556,X82,Y03,Y32,
車禍O5貨車乘客*撞靜態物體,6,V576,X82,Y03,Y32,
車禍O6貨車乘客*摔倒翻覆跌落,6,V586,X82,Y03,Y32,
車禍O7貨車乘客*不明車輛,6,V595,X82,Y03,Y32,
車禍P0大貨車乘客*汽車,6,V636,X82,Y03,Y32,
車禍P1大貨車乘客*貨車,6,V636,X82,Y03,Y32,
車禍P2大貨車乘客*大貨車,6,V646,X82,Y03,Y32,
車禍P3大貨車乘客*巴士,6,V646,X82,Y03,Y32,
車禍P4大貨車乘客*火車,6,V656,X82,Y03,Y32,
車禍P5大貨車乘客*撞靜態物體,6,V676,X82,Y03,Y32,
車禍P6大貨車乘客*摔倒翻覆跌落,6,V686,X82,Y03,Y32,
車禍P7大貨車乘客*不明車輛,6,V695,X82,Y03,Y32,
車禍Q0巴士乘客*汽車,6,V736,X82,Y03,Y32,
車禍Q1巴士乘客*貨車,6,V736,X82,Y03,Y32,
車禍Q2巴士乘客*大貨車,6,V746,X82,Y03,Y32,
車禍Q3巴士乘客*巴士,6,V746,X82,Y03,Y32,
車禍Q4巴士乘客*火車,6,V756,X82,Y03,Y32,
車禍Q5巴士乘客*撞靜態物體,6,V776,X82,Y03,Y32,
車禍Q6巴士乘客*摔倒翻覆跌落,6,V786,X82,Y03,Y32,
車禍Q7巴士乘客*不明車輛,6,V795,X82,Y03,Y32,
車禍\機車騎士與曳引車,6,V244,X82,Y03,Y32,
車禍傷重死亡,6,V892,X82,Y03,Y32,
車禍後,0,Y850,,,,
車禍後智能退化,5,T905,Y850,,,
車禍後期影響,0,Y850,,,,
車禍後火燒車,6,V892,X82,Y03,Y32,
車禍後落水,0,V899,,,,
車禍後遺症,0,Y850,,,,
車禍後陸續送院醫治,6,V892,X82,Y03,Y32,
車禍摔倒跌落水溝,6,V899,X82,Y03,Y32,
車禍滑落邊坡起火,6,V892,X82,Y03,Y32,
車禍自摔,6,V899,X82,Y03,Y32,
車禍跌入水溝,6,V899,X82,Y03,Y32,
車禍跌落山谷,6,V892,X82,Y03,Y32,
車翻覆,6,V489,X82,Y03,Y32,
車輛在車庫中持續發動,7,T58,X470,X670,X880,Y170
車輛墜落,6,V899,X82,Y03,Y32,
車輛夾擠,0,V899,,,,
車輛夾死,6,V899,X82,Y03,Y32,
車輛掉入水圳,6,V899,X82,Y03,Y32,
車輛掉進魚塭內,6,V899,X82,Y03,Y32,
車輛撞擊,6,V899,X82,Y03,Y32,
車輛擠壓,6,V899,X82,Y03,Y32,
車輛滑落山坡,6,V489,X82,Y03,Y32,
車輛火災,6,V892,X82,Y03,Y32,
車輛碰撞,6,V899,X82,Y03,Y32,
車輛翻落山谷,6,V489,X82,Y03,Y32,
車輛翻覆,6,V489,X82,Y03,Y32,
車輛輾壓,6,V892,X82,Y03,Y32,
車輛輾壓創傷,6,V892,X82,Y03,Y32,
車輛遭溪流衝走,0,V899,,,,
車輛重壓,6,V899,X82,Y03,Y32,
車輪輾壓,6,V892,X82,Y03,Y32,
車輾壓,6,V892,X82,Y03,Y32,
車門壓傷,6,W23,X83,Y08,Y33,
軍機失事,0,V959,,,,
軍機輪胎氣爆,0,V959,,,,
軍用叉車壓傷,6,V599,X82,Y03,Y32,
軍用槍,6,W33,X73,X94,Y23,
軍用槍砲,6,W33,X73,X94,Y23,
軍用槍砲爆炸意外,0,W40,,,,
軍用步槍貫穿,6,W33,X73,X94,Y23,
軍車車禍,6,V599,X82,Y03,Y32,
軟上腭癌,0,C051,,,,
軟喉症,0,Q318,,,,
軟性惡性腫瘤,0,C499,,,,
軟組織出血,3,R5800,T149,P549,,
軟組織創傷出血,0,T149,,,,
軟組織化膿,0,L089,,,,
軟組織壞死,0,R02,,,,
軟組織平滑肌肉瘤,0,C499,,,,
軟組織惡性肉瘤,0,C499,,,,
軟組織惡性腫瘤,0,C499,,,,
軟組織惡性黑色素瘤,0,C439,,,,
軟組織感染,0,L089,,,,
軟組織損傷,2,L988,T149,,,
軟組織瘤,0,D481,,,,
軟組織癌,0,C499,,,,
軟組織發炎,0,L089,,,,
軟組織結核,1,A184,P370,,,
軟組織缺損,0,L988,,,,
軟組織肉瘤,0,C499,,,,
軟組織腫瘤,0,D481,,,,
軟組織膿瘍,0,L029,,,,
軟組織血管肉瘤,0,C499,,,,
軟組織轉移,0,C798,,,,
軟組織轉移性腺癌,0,C809,,,,
軟組織類上皮肉瘤,0,C499,,,,
軟組織骨肉瘤,0,C419,,,,
軟腦膜下出血,3,I6080,S068(TR),P528,,
軟腦膜癌,0,C700,,,,
軟腦膜轉移,0,C793,,,,
軟腭上皮惡性腫瘤,0,C051,,,,
軟腭癌,0,C051,,,,
軟腭腫瘍,0,K102,,,,
軟腭腫瘤,0,D370,,,,
軟顎上皮細胞癌,0,C051,,,,
軟顎小細胞癌,0,C051,,,,
軟顎惡性癌,0,C051,,,,
軟顎惡性腫瘤,0,C051,,,,
軟顎扁平上皮細胞癌,0,C051,,,,
軟顎扁平細胞癌,0,C051,,,,
軟顎瀰漫大B細胞淋巴瘤,0,C833,,,,
軟顎癌,0,C051,,,,
軟顎腫瘤,0,D370,,,,
軟顎轉移,0,C798,,,,
軟顎鱗狀上皮細胞癌,0,C051,,,,
軟顎鱗狀細胞癌,0,C051,,,,
軟骨惡性腫瘤,0,C499,,,,
軟骨炎,0,M948,,,,
軟骨生成不全,0,Q789,,,,
軟骨症,0,Q789,,,,
軟骨瘤,0,D480,,,,
軟骨癌,0,C499,,,,
軟骨發育不良症,0,Q789,,,,
軟骨組織肉瘤,0,C499,,,,
軟骨肉瘤,0,C419,,,,
軟骨骼惡性肉瘤,0,C499,,,,
軟體組織感染,0,L089,,,,
軸突神經損傷,2,G589,T144,,,
輕度智能不足,0,F709,,,,
輕度智障,0,F709,,,,
輕度精神疾病,0,F29,,,,
輕度精神障礙,0,F29,,,,
輕度糖尿病,1,E149,P702,,,
輕度聽障,0,H919,,,,
輕度肢障,0,G825(nTR),,,,
輕度語言智障,0,R478,,,,
輕度陳舊性腦中風,0,I6949,,,,
輕手法之加害,0,Y09,,,,
輕機車車禍人車倒地後遭營大貨車輾碾,6,V244,X82,Y03,Y32,
輕癱,1,G819,G802,,,
輕航機失控墜落,0,V970,,,,
輕航機失控墜落水庫,0,V970,,,,
輕航機跳出,6,V970,X80,Y01,Y30,
輕鏈病,0,D899,,,,
輕鏈蛋白沉積症,0,D899,,,,
輪椅上跌落,0,W05,,,,
輪椅上跌落地面,0,W05,,,,
輪椅向後仰倒,0,W05,,,,
輪椅跌倒,0,W05,,,,
輪椅跌落樓梯,0,W05,,,,
輪狀病毒性腸胃炎,1,A080,K529,,,
輪狀病毒感染,0,B348,,,,
輪狀病毒感染肺炎,1,J128,P230,,,
輪狀病毒腸炎,1,A080,K529,,,
輪胎氣爆,6,V892,X82,Y03,Y32,
輸入環症候群,0,K918,,,,
輸入肢症候群,0,Q898,,,,
輸入腸管症候群,0,K918,,,,
輸卵管卵巢膿瘍,0,N709,,,,
輸卵管妊娠,0,O001,,,,
輸卵管子宮外孕破裂,0,O001,,,,
輸卵管惡性腫瘤,0,C570,,,,
輸卵管惡性贅瘤,0,C570,,,,
輸卵管扭轉,0,N835,,,,
輸卵管癌,0,C570,,,,
輸卵管缺血壞死,0,N709,,,,
輸卵管腫瘤,0,D397,,,,
輸卵管膿瘍,0,N709,,,,
輸卵管轉移,0,C798,,,,
輸卵管過渡性細胞癌,0,C570,,,,
輸卵管阻塞,0,N971,,,,
